max_s11 min_s11 max_s22 min_s22 max_s12 min_s12 max_e11 min_e11 max_e22 min_e22 max_e12 min_e12
1.131101837158203125e+02 9.658520507812500000e+01 1.037032699584960938e+02 9.654242706298828125e+01 3.245698690414428711e+00 -3.419279575347900391e+00 1.131101837158203125e+02 9.658520507812500000e+01 1.037032699584960938e+02 9.654242706298828125e+01 3.245698690414428711e+00 -3.419279575347900391e+00
1.045543060302734375e+02 9.714987945556640625e+01 1.037714080810546875e+02 9.705594635009765625e+01 2.604018211364746094e+00 -2.789615869522094727e+00 1.045543060302734375e+02 9.714987945556640625e+01 1.037714080810546875e+02 9.705594635009765625e+01 2.604018211364746094e+00 -2.789615869522094727e+00
1.131408767700195312e+02 9.602768707275390625e+01 1.105015258789062500e+02 9.616567230224609375e+01 6.354604721069335938e+00 -6.938196182250976562e+00 1.131408767700195312e+02 9.602768707275390625e+01 1.105015258789062500e+02 9.616567230224609375e+01 6.354604721069335938e+00 -6.938196182250976562e+00
1.051104583740234375e+02 9.692049407958984375e+01 1.036113662719726562e+02 9.691338348388671875e+01 2.765744924545288086e+00 -2.770861864089965820e+00 1.051104583740234375e+02 9.692049407958984375e+01 1.036113662719726562e+02 9.691338348388671875e+01 2.765744924545288086e+00 -2.770861864089965820e+00
1.092460708618164062e+02 9.654685211181640625e+01 1.063038482666015625e+02 9.567425537109375000e+01 3.656818151473999023e+00 -4.449514389038085938e+00 1.092460708618164062e+02 9.654685211181640625e+01 1.063038482666015625e+02 9.567425537109375000e+01 3.656818151473999023e+00 -4.449514389038085938e+00
1.038661193847656250e+02 9.666225433349609375e+01 1.041208572387695312e+02 9.689122772216796875e+01 3.364236354827880859e+00 -2.709440946578979492e+00 1.038661193847656250e+02 9.666225433349609375e+01 1.041208572387695312e+02 9.689122772216796875e+01 3.364236354827880859e+00 -2.709440946578979492e+00
1.072065048217773438e+02 9.673000335693359375e+01 1.071977386474609375e+02 9.667827606201171875e+01 4.710472583770751953e+00 -3.237083911895751953e+00 1.072065048217773438e+02 9.673000335693359375e+01 1.071977386474609375e+02 9.667827606201171875e+01 4.710472583770751953e+00 -3.237083911895751953e+00
1.072361755371093750e+02 9.589793395996093750e+01 1.096832199096679688e+02 9.556434631347656250e+01 4.479302883148193359e+00 -4.406723022460937500e+00 1.072361755371093750e+02 9.589793395996093750e+01 1.096832199096679688e+02 9.556434631347656250e+01 4.479302883148193359e+00 -4.406723022460937500e+00
1.122541427612304688e+02 9.659709930419921875e+01 1.059224853515625000e+02 9.684204864501953125e+01 3.219649791717529297e+00 -4.931387901306152344e+00 1.122541427612304688e+02 9.659709930419921875e+01 1.059224853515625000e+02 9.684204864501953125e+01 3.219649791717529297e+00 -4.931387901306152344e+00
1.046123352050781250e+02 9.720001220703125000e+01 1.133708953857421875e+02 9.643523406982421875e+01 3.437050580978393555e+00 -3.903665065765380859e+00 1.046123352050781250e+02 9.720001220703125000e+01 1.133708953857421875e+02 9.643523406982421875e+01 3.437050580978393555e+00 -3.903665065765380859e+00
1.045598602294921875e+02 9.653112792968750000e+01 1.049205169677734375e+02 9.653987121582031250e+01 3.631257772445678711e+00 -3.020710468292236328e+00 1.045598602294921875e+02 9.653112792968750000e+01 1.049205169677734375e+02 9.653987121582031250e+01 3.631257772445678711e+00 -3.020710468292236328e+00
